Status;Life expectancy ;Adult Mortality;infant deaths;Alcohol;percentage expenditure;Hepatitis B;Measles ; BMI ;Year;=COEF.DE.CORREL(B2:B2721,C2:C2721);
Developing;65;263;62;0,01;71,27962362;65;1154;19,1;2015;=COEF.DE.CORREL(D2:D2721,E2:E2721);Instrucciones
Developing;59,9;271;64;0,01;73,52358168;62;492;18,6;2014;=COEF.DE.CORREL(F2:F2721,G2:G2721);El reto es generar un análisis exploratorio como se vio en clase
Developing;59,9;268;66;0,01;73,21924272;64;430;18,1;2013;=COEF.DE.CORREL(H2:H2721,I2:I2721) ;
Developing;59,5;272;69;0,01;78,1842153;67;2787;17,6;2012;;1) Tener un Análisis de completitud
Developing;59,2;275;71;0,01;7,097108703;68;3013;17,2;2011;;2) Identificar variables cualitativas y cuantitativas
Developing;58,8;279;74;0,01;79,67936736;66;1989;16,7;2010;;3) Generar una matriz de correlaciones
Developing;58,6;281;77;0,01;56,76221682;63;2861;16,2;2009;;4) Hacer una regresión lineal multiple
Developing;58,1;287;80;0,03;25,87392536;64;1599;15,7;2008;;
Developing;57,5;295;82;0,02;10,91015598;63;1141;15,2;2007;;2720
Developing;57,3;295;84;0,03;17,17151751;64;1990;14,7;2006;;
Developing;57,3;291;85;0,02;1,388647732;66;1296;14,2;2005;;2720
Developing;57;293;87;0,02;15,29606643;67;466;13,8;2004;;
Developing;56,7;295;87;0,01;11,08905273;65;798;13,4;2003;;
Developing;56,2;3;88;0,01;16,88735091;64;2486;13;2002;;
Developing;55,3;316;88;0,01;10,5747282;63;8762;12,6;2001;;
Developing;54,8;321;88;0,01;10,42496;62;6532;12,2;2000;;
Developing;77,8;74;0;4,6;364,9752287;99;0;58;2015;;
Developing;77,5;8;0;4,51;428,7490668;98;0;57,2;2014;;
Developing;77,2;84;0;4,76;430,8769785;99;0;56,5;2013;;
Developing;76,9;86;0;5,14;412,4433563;99;9;55,8;2012;;
Developing;76,6;88;0;5,37;437,0621;99;28;55,1;2011;;
Developing;76,2;91;1;5,28;41,82275719;99;10;54,3;2010;;
Developing;76,1;91;1;5,79;348,0559517;98;0;53,5;2009;;
Developing;75,3;1;1;5,61;36,62206845;99;0;52,6;2008;;
Developing;75,9;9;1;5,58;32,24655228;98;22;51,7;2007;;
Developing;74,2;99;1;5,31;3,3021542;98;68;5,8;2006;;
Developing;73,5;15;1;5,16;26,99312143;98;6;49,9;2005;;
Developing;73;17;1;4,54;221,8428;99;7;48,9;2004;;
Developing;72,8;18;1;4,29;14,71928882;97;8;47,9;2003;;
Developing;73,3;15;1;3,73;104,5169157;96;16;46,9;2002;;
Developing;73,6;14;1;4,25;96,20557078;96;18;46;2001;;
Developing;72,6;11;1;3,66;91,71154052;96;662;45;2000;;
Developing;75,4;11;21;0,01;54,2373183;95;0;58,4;2014;;
Developing;75,3;112;21;0,53;544,4507432;95;25;57,2;2013;;
Developing;75,1;113;21;0,66;555,9260834;95;18;56,1;2012;;
Developing;74,9;116;21;0,56;509,0020405;95;112;55;2011;;
Developing;74,7;119;21;0,45;430,7175861;95;103;53,9;2010;;
